prompt,predicted_fom,composition.Co,composition.Sb,composition.In,composition.Sr,composition.As,site_allocation.In,site_allocation.Sr,site_allocation.As,composition.Tl,composition.Hf,site_allocation.Tl,site_allocation.Hf,composition.Pb,composition.Ce,site_allocation.Pb,site_allocation.Ce,composition.Li,composition.Mg,site_allocation.Li,site_allocation.Mg,composition.Cu,composition.Zr,site_allocation.Cu,site_allocation.Zr,composition.Na,site_allocation.Na,composition.Yb,site_allocation.Yb,composition.Ca,site_allocation.Ca,composition.Si,site_allocation.Si,composition.Pd,site_allocation.Pd,composition.Mo,site_allocation.Mo,composition.Ba,site_allocation.Ba,composition.Mn,site_allocation.Mn,composition.Dy,composition.Pr,site_allocation.Dy,site_allocation.Pr,composition.Cl,site_allocation.Cl,composition.O,site_allocation.O,composition.Sm,composition.S,site_allocation.Sm,site_allocation.S,composition.C,site_allocation.C,composition.F,site_allocation.F,composition.La,site_allocation.La,composition.Eu,composition.Zn,site_allocation.Eu,site_allocation.Zn,composition.Al,site_allocation.Al,composition.Gd,site_allocation.Gd,composition.Ni,composition.Ga,site_allocation.Ni,site_allocation.Ga,composition.Sn,site_allocation.Sn,composition.W,site_allocation.W,composition.Nd,site_allocation.Nd,composition.Mm,site_allocation.Mm,composition.Y,site_allocation.Y,composition.Te,site_allocation.Te,composition.Ag,site_allocation.Ag,composition.G,site_allocation.G,composition.Fe,site_allocation.Fe,composition.Bi,site_allocation.Bi
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.0625, 'Ce': 0.046875, 'Y': 0.109375}, Temperature: 374K",1.3704856634140015,1,3,,,,,,,,,,,,0.046875,,"['I', 'J', 'C']",,,,,,,,,,,,,,,,,,,,,0.0625,"['K', 'G', 'H', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109375,"['F', 'B', 'P', 'N', 'L', 'O', 'D']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.09375}, Temperature: 771K",1.0114070177078247,1,3,,,,,,,0.09375,,"['K', 'B', 'J', 'F', 'D', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'S': 0.078125, 'In': 0.140625, 'Al': 0.015625}, Temperature: 793K",1.2059599161148071,1,3,0.140625,,,"['P', 'D', 'H', 'I', 'E', 'B', 'L', 'O', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,,"['K', 'J', 'N', 'A', 'F']",,,,,,,,,,,0.015625,['M'],,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mg': 0.03125, 'Tl': 0.140625, 'In': 0.015625}, Temperature: 719K",1.0094175338745117,1,3,0.015625,,,['L'],,,0.140625,,"['K', 'E', 'A', 'D', 'P', 'I', 'H', 'J', 'N']",,,,,,,0.03125,,"['B', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.078125, 'Sr': 0.09375, 'Pb': 0.03125}, Temperature: 746K",1.1714890003204346,1,3,,0.09375,,,"['H', 'F', 'D', 'L', 'M', 'I']",,,,,,0.03125,,"['C', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['J', 'B', 'O', 'K', 'P']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.125, 'Ba': 0.09375}, Temperature: 609K",1.2218531370162964,1,3,0.125,,,"['F', 'B', 'C', 'N', 'D', 'M', 'E', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['A', 'P', 'I', 'J', 'L', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.109375, 'Al': 0.109375, 'Te': 0.03125}, Temperature: 652K",1.078586220741272,1,3,0.109375,,,"['P', 'E', 'O', 'B', 'D', 'L', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109375,"['I', 'G', 'A', 'M', 'J', 'K', 'F']",,,,,,,,,,,,,,,,,0.03125,"['N', 'H']",,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Si': 0.140625, 'Li': 0.046875, 'In': 0.03125}, Temperature: 667K",1.1883113384246826,1,3,0.03125,,,"['P', 'M']",,,,,,,,,,,0.046875,,"['D', 'A', 'G']",,,,,,,,,,,,0.140625,"['E', 'F', 'O', 'I', 'H', 'J', 'K', 'C', 'L']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Yb': 0.078125, 'Tl': 0.171875}, Temperature: 408K",1.1612623929977417,1,3,,,,,,,0.171875,,"['H', 'C', 'O', 'I', 'L', 'E', 'A', 'N', 'J', 'M', 'P']",,,,,,,,,,,,,,,,0.078125,"['G', 'F', 'B', 'D', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.03125}, Temperature: 765K",1.0301440954208374,1,3,,,,,,,0.03125,,"['H', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pb': 0.078125, 'In': 0.15625, 'Pr': 0.015625}, Temperature: 784K",1.2317156791687012,1,3,0.15625,,,"['M', 'G', 'O', 'A', 'K', 'N', 'C', 'D', 'E', 'F']",,,,,,,0.078125,,"['J', 'I', 'P', 'H', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,,['L'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pr': 0.03125, 'Tl': 0.203125, 'Sm': 0.015625}, Temperature: 575K",1.0321345329284668,1,3,,,,,,,0.203125,,"['K', 'N', 'G', 'C', 'H', 'P', 'O', 'F', 'J', 'A', 'M', 'L', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,,"['B', 'E']",,,,,0.015625,,['D'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cu': 0.15625, 'Yb': 0.0625, 'In': 0.03125}, Temperature: 420K",1.10516357421875,1,3,0.03125,,,"['P', 'H']",,,,,,,,,,,,,,,0.15625,,"['B', 'G', 'O', 'J', 'D', 'N', 'L', 'I', 'E', 'C']",,,,0.0625,"['M', 'F', 'A', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ag': 0.078125, 'Pb': 0.03125, 'Ni': 0.125}, Temperature: 436K",1.0254982709884644,1,3,,,,,,,,,,,0.03125,,"['F', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,"['O', 'D', 'E', 'C', 'I', 'H', 'G', 'N']",,,,,,,,,,,,,,0.078125,"['L', 'J', 'M', 'B', 'P']",,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'S': 0.015625, 'Ba': 0.09375, 'In': 0.09375}, Temperature: 492K",1.173841953277588,1,3,0.09375,,,"['A', 'O', 'D', 'F', 'I', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['C', 'E', 'M', 'K', 'H', 'L']",,,,,,,,,,,,0.015625,,['B'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.171875, 'Pb': 0.015625, 'Sr': 0.03125}, Temperature: 699K",1.0646997690200806,1,3,,0.03125,,,"['P', 'A']",,,,,,0.015625,,['J'],,,,,,,,,,,,,,,,,,,,,,0.171875,"['G', 'C', 'I', 'N', 'L', 'K', 'H', 'F', 'E', 'O', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ni': 0.140625, 'In': 0.0625, 'G': 0.03125}, Temperature: 789K",1.283341646194458,1,3,0.0625,,,"['I', 'P', 'H', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140625,,"['D', 'N', 'J', 'B', 'E', 'G', 'A', 'C', 'M']",,,,,,,,,,,,,,,,0.03125,"['F', 'L']",,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.203125, 'Pb': 0.03125}, Temperature: 593K",1.1407949924468994,1,3,0.203125,,,"['D', 'H', 'M', 'E', 'L', 'O', 'I', 'G', 'P', 'J', 'B', 'F', 'N']",,,,,,,0.03125,,"['K', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Fe': 0.1875, 'Y': 0.03125, 'In': 0.03125}, Temperature: 681K",1.2310655117034912,1,3,0.03125,,,"['L', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['D', 'F']",,,,,,,0.1875,"['J', 'G', 'E', 'N', 'O', 'K', 'C', 'H', 'P', 'I', 'A', 'M']",,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.15625, 'Pd': 0.0625, 'S': 0.03125}, Temperature: 622K",1.0000240802764893,1,3,,,,,,,0.15625,,"['E', 'K', 'J', 'N', 'A', 'H', 'F', 'G', 'P', 'D']",,,,,,,,,,,,,,,,,,,,,,0.0625,"['I', 'O', 'L', 'C']",,,,,,,,,,,,,,,,0.03125,,"['M', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cu': 0.15625, 'Mn': 0.0625, 'In': 0.03125}, Temperature: 629K",1.1934412717819214,1,3,0.03125,,,"['O', 'B']",,,,,,,,,,,,,,,0.15625,,"['L', 'F', 'N', 'A', 'G', 'K', 'M', 'I', 'D', 'P']",,,,,,,,,,,,,,,,0.0625,"['C', 'E', 'J', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Sn': 0.125, 'Hf': 0.078125, 'Tl': 0.03125}, Temperature: 496K",1.098921775817871,1,3,,,,,,,0.03125,0.078125,"['J', 'G']","['C', 'E', 'O', 'H', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,"['D', 'L', 'P', 'K', 'N', 'I', 'A', 'B']",,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Yb': 0.1875, 'Te': 0.03125, 'Na': 0.03125}, Temperature: 643K",1.0442956686019897,1,3,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['H', 'K']",0.1875,"['N', 'J', 'P', 'D', 'C', 'F', 'O', 'I', 'G', 'M', 'A', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['E', 'L']",,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.203125, 'Pb': 0.03125, 'Sr': 0.015625}, Temperature: 757K",1.0441817045211792,1,3,,0.015625,,,['C'],,,,,,0.03125,,"['J', 'I']",,,,,,,,,,,,,,,,,,,,,,0.203125,"['N', 'F', 'A', 'L', 'G', 'P', 'E', 'M', 'H', 'D', 'B', 'K', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.203125, 'Ni': 0.015625, 'In': 0.03125}, Temperature: 751K",1.0571222305297852,1,3,0.03125,,,"['L', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,,['D'],,,,,,,,,,0.203125,"['G', 'N', 'P', 'F', 'O', 'M', 'C', 'A', 'I', 'B', 'J', 'K', 'H']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ce': 0.078125, 'In': 0.03125, 'Ba': 0.03125}, Temperature: 682K",1.701805591583252,1,3,0.03125,,,"['B', 'D']",,,,,,,,0.078125,,"['L', 'F', 'H', 'O', 'I']",,,,,,,,,,,,,,,,,,,,,0.03125,"['M', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Yb': 0.125, 'La': 0.03125, 'Zr': 0.078125}, Temperature: 682K",1.1330775022506714,1,3,,,,,,,,,,,,,,,,,,,,0.078125,,"['C', 'P', 'D', 'J', 'F']",,,0.125,"['N', 'M', 'I', 'E', 'O', 'A', 'K', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['B', 'L']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.078125}, Temperature: 517K",1.1003855466842651,1,3,0.078125,,,"['I', 'K', 'B', 'A', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Si': 0.0625, 'As': 0.0625, 'In': 0.078125}, Temperature: 366K",1.213066816329956,1,3,0.078125,,0.0625,"['G', 'C', 'M', 'F', 'J']",,"['L', 'O', 'B', 'P']",,,,,,,,,,,,,,,,,,,,,,,0.0625,"['K', 'H', 'I', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'La': 0.078125, 'Ce': 0.03125}, Temperature: 469K",1.3428854942321777,1,3,,,,,,,,,,,,0.03125,,"['G', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['B', 'C', 'F', 'K', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.046875, 'As': 0.078125, 'F': 0.0625}, Temperature: 418K",1.087182879447937,1,3,,,0.078125,,,"['J', 'M', 'L', 'C', 'K']",0.046875,,"['D', 'A', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['B', 'P', 'N', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Sr': 0.078125, 'Mo': 0.0625, 'W': 0.03125}, Temperature: 587K",1.0932385921478271,1,3,,0.078125,,,"['B', 'H', 'D', 'C', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['J', 'K', 'P', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['A', 'N']",,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ce': 0.171875, 'Tl': 0.0625}, Temperature: 585K",1.1344157457351685,1,3,,,,,,,0.0625,,"['F', 'O', 'M', 'C']",,,0.171875,,"['I', 'L', 'E', 'A', 'B', 'J', 'K', 'H', 'D', 'N', 'G']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ba': 0.046875, 'In': 0.140625}, Temperature: 481K",1.1952521800994873,1,3,0.140625,,,"['F', 'P', 'M', 'H', 'O', 'J', 'I', 'N', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['L', 'A', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.15625, 'F': 0.015625, 'Li': 0.078125}, Temperature: 305K",1.0282560586929321,1,3,0.15625,,,"['D', 'H', 'G', 'L', 'M', 'P', 'C', 'O', 'J', 'K']",,,,,,,,,,,0.078125,,"['F', 'B', 'E', 'I', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['A'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'G': 0.125, 'Yb': 0.078125, 'Al': 0.03125}, Temperature: 668K",1.1469173431396484,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['I', 'B', 'C', 'A', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['H', 'D']",,,,,,,,,,,,,,,,,,,,,0.125,"['E', 'F', 'N', 'P', 'L', 'O', 'K', 'G']",,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.0625, 'In': 0.078125}, Temperature: 458K",1.1136980056762695,1,3,0.078125,,,"['A', 'J', 'N', 'G', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['B', 'O', 'K', 'H']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.203125}, Temperature: 486K",1.0735845565795898,1,3,0.203125,,,"['L', 'B', 'P', 'A', 'F', 'K', 'D', 'H', 'N', 'G', 'M', 'O', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.03125}, Temperature: 446K",1.0607563257217407,1,3,0.03125,,,"['L', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mn': 0.125, 'Yb': 0.078125, 'Cu': 0.03125}, Temperature: 386K",1.3078981637954712,1,3,,,,,,,,,,,,,,,,,,,0.03125,,"['I', 'O']",,,,0.078125,"['C', 'J', 'M', 'N', 'L']",,,,,,,,,,,0.125,"['F', 'B', 'G', 'P', 'E', 'K', 'D', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Zr': 0.15625, 'Na': 0.046875, 'In': 0.046875}, Temperature: 394K",1.140364646911621,1,3,0.046875,,,"['H', 'O', 'P']",,,,,,,,,,,,,,,,0.15625,,"['C', 'A', 'M', 'B', 'K', 'D', 'F', 'N', 'G', 'E']",0.046875,"['J', 'L', 'I']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'In': 0.078125, 'C': 0.046875}, Temperature: 303K",1.1192426681518555,1,3,0.078125,,,"['J', 'F', 'N', 'C', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['G', 'B', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.03125, 'Pb': 0.03125}, Temperature: 762K",1.0922834873199463,1,3,,,,,,,,,,,0.03125,,"['O', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['A', 'D']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ca': 0.03125, 'F': 0.140625, 'Bi': 0.078125}, Temperature: 586K",1.0006053447723389,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['G', 'L']",,,,,,,,,,,,,,,,,,,,,,,,,0.140625,"['H', 'E', 'C', 'D', 'O', 'N', 'K', 'B', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['J', 'A', 'I', 'F', 'M']"
