prompt,predicted_fom,composition.Co,composition.Sb,composition.Dy,site_allocation.Dy,composition.Mg,composition.Pd,composition.Cl,site_allocation.Mg,site_allocation.Pd,site_allocation.Cl,composition.Cd,composition.Mn,composition.S,site_allocation.Cd,site_allocation.Mn,site_allocation.S,composition.As,site_allocation.As,composition.Mm,composition.Yb,composition.O,site_allocation.Mm,site_allocation.Yb,site_allocation.O,composition.Nd,site_allocation.Nd,composition.Eu,site_allocation.Eu,composition.K,site_allocation.K,composition.Zn,composition.G,site_allocation.Zn,site_allocation.G,composition.Te,site_allocation.Te,composition.Ti,site_allocation.Ti,composition.F,site_allocation.F,composition.Gd,site_allocation.Gd,composition.Ag,site_allocation.Ag,composition.Cu,site_allocation.Cu,composition.Pr,site_allocation.Pr,composition.Al,site_allocation.Al,composition.Si,composition.W,site_allocation.Si,site_allocation.W,composition.Ba,site_allocation.Ba,composition.Hf,site_allocation.Hf,composition.Bi,site_allocation.Bi,composition.Sn,site_allocation.Sn,composition.Ga,site_allocation.Ga,composition.Na,site_allocation.Na,composition.Li,site_allocation.Li,composition.C,site_allocation.C,composition.Ce,site_allocation.Ce,composition.Mo,site_allocation.Mo,composition.Sm,site_allocation.Sm,composition.La,site_allocation.La,composition.Y,site_allocation.Y,composition.Ni,site_allocation.Ni,composition.Sr,site_allocation.Sr,composition.Fe,site_allocation.Fe,composition.Tl,composition.Pb,site_allocation.Tl,site_allocation.Pb,composition.Zr,site_allocation.Zr
"Composition: {'Co': 1, 'Sb': 3, 'C': 0.109375}, Temperature: 528K",0.12243984639644623,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109375,"['B', 'M', 'I', 'E', 'J', 'H', 'L']",,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'La': 0.203125, 'S': 0.03125, 'Fe': 0.015625}, Temperature: 712K",0.4281458258628845,1,3,,,,,,,,,,,0.03125,,,"['H', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203125,"['G', 'P', 'A', 'O', 'K', 'N', 'E', 'I', 'F', 'L', 'C', 'D', 'M']",,,,,,,0.015625,['J'],,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Gd': 0.15625, 'Te': 0.078125}, Temperature: 433K",0.2731568217277527,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['N', 'E', 'B', 'O', 'A']",,,,,0.15625,"['C', 'I', 'J', 'N', 'P', 'D', 'L', 'K', 'H', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Al': 0.171875}, Temperature: 580K",0.19298841059207916,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,"['G', 'M', 'L', 'K', 'C', 'E', 'P', 'N', 'I', 'J', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pd': 0.15625}, Temperature: 323K",0.11025059223175049,1,3,,,,0.15625,,,"['J', 'P', 'D', 'N', 'O', 'E', 'L', 'C', 'H', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Te': 0.09375, 'Y': 0.03125, 'Dy': 0.015625}, Temperature: 355K",0.17795027792453766,1,3,0.015625,['E'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['G', 'D', 'P', 'O', 'H', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['L', 'J']",,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Mm': 0.0625, 'Eu': 0.15625}, Temperature: 498K",0.21607443690299988,1,3,,,,,,,,,,,,,,,,,0.0625,,,"['I', 'N', 'P', 'J']",,,,,0.15625,"['B', 'C', 'D', 'G', 'A', 'F', 'L', 'K', 'H', 'E']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Fe': 0.0625, 'Mn': 0.15625}, Temperature: 427K",0.267090380191803,1,3,,,,,,,,,,0.15625,,,"['P', 'O', 'J', 'N', 'G', 'A', 'I', 'F', 'C', 'K']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['N', 'H', 'L', 'E']",,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Tl': 0.21875, 'Pb': 0.015625, 'O': 0.015625}, Temperature: 528K",0.4588112533092499,1,3,,,,,,,,,,,,,,,,,,,0.015625,,,['N'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,0.015625,"['F', 'B', 'H', 'N', 'P', 'M', 'G', 'C', 'D', 'O', 'E', 'K', 'A', 'J']",['I'],,
"Composition: {'Co': 1, 'Sb': 3, 'Ga': 0.140625, 'Sm': 0.09375, 'Ag': 0.015625}, Temperature: 510K",0.33419153094291687,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['N'],,,,,,,,,,,,,,,,,,,0.140625,"['I', 'N', 'A', 'M', 'L', 'O', 'C', 'B', 'E']",,,,,,,,,,,0.09375,"['J', 'P', 'K', 'G', 'H', 'F']",,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Eu': 0.03125}, Temperature: 517K",0.4190126657485962,1,3,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['F', 'P']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'As': 0.234375, 'Gd': 0.015625}, Temperature: 659K",0.1467597782611847,1,3,,,,,,,,,,,,,,,0.234375,"['K', 'F', 'J', 'C', 'E', 'A', 'M', 'I', 'P', 'D', 'N', 'B', 'N', 'H', 'O']",,,,,,,,,,,,,,,,,,,,,,,0.015625,['L'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.15625, 'Al': 0.078125, 'Cd': 0.015625}, Temperature: 762K",0.48427799344062805,1,3,,,,,,,,,0.015625,,,['H'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['P', 'M', 'C', 'K', 'J']",,,,,,,0.15625,"['E', 'B', 'N', 'O', 'G', 'I', 'N', 'A', 'L', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Gd': 0.21875, 'Y': 0.015625, 'Dy': 0.015625}, Temperature: 337K",0.1852927803993225,1,3,0.015625,['A'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,"['E', 'K', 'B', 'F', 'M', 'L', 'P', 'N', 'N', 'C', 'I', 'O', 'G', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['D'],,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Zn': 0.140625}, Temperature: 319K",0.10425889492034912,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140625,,"['E', 'J', 'I', 'O', 'K', 'P', 'L', 'F', 'A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'K': 0.125, 'Zr': 0.046875}, Temperature: 604K",0.13639461994171143,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,"['O', 'H', 'B', 'J', 'G', 'P', 'C', 'D']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['L', 'N', 'N']"
"Composition: {'Co': 1, 'Sb': 3, 'Nd': 0.1875}, Temperature: 772K",0.2606327533721924,1,3,,,,,,,,,,,,,,,,,,,,,,,0.1875,"['L', 'G', 'H', 'I', 'K', 'E', 'B', 'O', 'F', 'D', 'A', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Fe': 0.046875, 'La': 0.09375}, Temperature: 303K",0.32537195086479187,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['B', 'H', 'G', 'C', 'L', 'D']",,,,,,,0.046875,"['M', 'O', 'I']",,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ni': 0.0625, 'Ga': 0.125, 'Hf': 0.046875}, Temperature: 396K",0.4973204433917999,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['E', 'B', 'N']",,,,,0.125,"['P', 'L', 'D', 'M', 'H', 'C', 'K', 'J']",,,,,,,,,,,,,,,,,0.0625,"['N', 'F', 'I', 'O']",,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.09375, 'F': 0.046875, 'Ti': 0.015625}, Temperature: 727K",0.30768054723739624,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['N'],0.046875,"['A', 'O', 'C']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,"['M', 'J', 'I', 'P', 'K', 'B']",,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Bi': 0.234375}, Temperature: 533K",0.1120767742395401,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234375,"['H', 'J', 'P', 'A', 'E', 'C', 'D', 'O', 'I', 'M', 'G', 'N', 'L', 'N', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Cd': 0.125, 'Te': 0.09375, 'Zn': 0.03125}, Temperature: 686K",0.4640456736087799,1,3,,,,,,,,,0.125,,,"['D', 'L', 'N', 'B', 'F', 'A', 'J', 'M']",,,,,,,,,,,,,,,,,0.03125,,"['H', 'K']",,0.09375,"['G', 'I', 'C', 'P', 'N', 'O']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'W': 0.125, 'Y': 0.015625}, Temperature: 331K",0.21657854318618774,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,"['D', 'F', 'A', 'M', 'J', 'I', 'H', 'B']",,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['K'],,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Fe': 0.140625}, Temperature: 385K",0.2164541482925415,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140625,"['N', 'A', 'O', 'B', 'L', 'I', 'J', 'P', 'M']",,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Si': 0.21875, 'Fe': 0.015625}, Temperature: 466K",0.24881337583065033,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21875,,"['A', 'I', 'B', 'N', 'N', 'K', 'L', 'G', 'M', 'C', 'F', 'H', 'E', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['P'],,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Pr': 0.109375, 'Zr': 0.046875, 'Hf': 0.09375}, Temperature: 760K",0.43227261304855347,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109375,"['M', 'A', 'L', 'E', 'H', 'B', 'K']",,,,,,,,,0.09375,"['F', 'N', 'O', 'N', 'P', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046875,"['C', 'G', 'D']"
"Composition: {'Co': 1, 'Sb': 3, 'Te': 0.15625, 'Fe': 0.078125, 'Mm': 0.015625}, Temperature: 738K",0.3531400263309479,1,3,,,,,,,,,,,,,,,,,0.015625,,,['G'],,,,,,,,,,,,,0.15625,"['E', 'P', 'K', 'M', 'N', 'A', 'N', 'I', 'B', 'J']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['C', 'H', 'F', 'D', 'O']",,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'C': 0.1875, 'Mm': 0.015625, 'Gd': 0.046875}, Temperature: 587K",0.3048417568206787,1,3,,,,,,,,,,,,,,,,,0.015625,,,['E'],,,,,,,,,,,,,,,,,,,0.046875,"['O', 'L', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,"['A', 'F', 'I', 'C', 'D', 'K', 'H', 'M', 'J', 'B', 'G', 'P']",,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Dy': 0.109375, 'Pr': 0.109375, 'G': 0.015625}, Temperature: 356K",0.3085232973098755,1,3,0.109375,"['H', 'C', 'E', 'P', 'L', 'G', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,,['B'],,,,,,,,,,,,,0.109375,"['I', 'J', 'M', 'K', 'N', 'A', 'F']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Bi': 0.15625, 'Mo': 0.015625, 'Zn': 0.0625}, Temperature: 467K",0.4615611732006073,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,"['H', 'J', 'B', 'L']",,,,,,,,,,,,,,,,,,,,,,,,,,0.15625,"['P', 'D', 'M', 'N', 'I', 'C', 'G', 'F', 'A', 'E']",,,,,,,,,,,,,0.015625,['K'],,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Yb': 0.015625}, Temperature: 586K",0.3348884880542755,1,3,,,,,,,,,,,,,,,,,,0.015625,,,['P'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'G': 0.171875, 'Pr': 0.015625, 'W': 0.0625}, Temperature: 417K",0.32277417182922363,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,,"['B', 'H', 'J', 'O', 'A', 'C', 'D', 'G', 'N', 'L', 'F']",,,,,,,,,,,,,0.015625,['K'],,,,0.0625,,"['P', 'E', 'N', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Ti': 0.171875, 'Ce': 0.0625}, Temperature: 460K",0.16606849431991577,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171875,"['E', 'O', 'I', 'A', 'C', 'N', 'J', 'P', 'L', 'K', 'M']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,"['H', 'N', 'B', 'D']",,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'S': 0.015625, 'Ag': 0.03125, 'La': 0.203125}, Temperature: 324K",0.23527397215366364,1,3,,,,,,,,,,,0.015625,,,['P'],,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,"['A', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203125,"['I', 'H', 'J', 'C', 'O', 'G', 'K', 'N', 'L', 'M', 'F', 'D', 'E']",,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Sr': 0.21875, 'Li': 0.015625}, Temperature: 373K",0.3035799562931061,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['A'],,,,,,,,,,,,,,,0.21875,"['F', 'G', 'H', 'B', 'O', 'E', 'D', 'J', 'M', 'N', 'I', 'L', 'N', 'C']",,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'W': 0.0625}, Temperature: 774K",0.32058185338974,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,"['F', 'C', 'N', 'N']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Y': 0.015625, 'Cd': 0.015625}, Temperature: 386K",0.3423348665237427,1,3,,,,,,,,,0.015625,,,['J'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015625,['E'],,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'Hf': 0.140625}, Temperature: 601K",0.16404162347316742,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.140625,"['E', 'M', 'N', 'N', 'B', 'D', 'A', 'F', 'H']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Composition: {'Co': 1, 'Sb': 3, 'La': 0.109375, 'Sn': 0.078125, 'Li': 0.0625}, Temperature: 559K",0.26793527603149414,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078125,"['I', 'L', 'H', 'A', 'M']",,,,,0.0625,"['D', 'N', 'P', 'J']",,,,,,,,,0.109375,"['N', 'B', 'O', 'C', 'G', 'E', 'K']",,,,,,,,,,,,,,
